"#","ML Number","Close Price","Original List Price","On Market Date","Close Date","Status","Address","City","Zip","Legal Subdivision Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","Selling Agent ID","LSC List Side","List Office Primary Board ID"
"1","O5978769","$392,000","$405,000","10/10/2021","04/21/2022","SLD","9123 WESTPORT TER","ORLANDO","32817","WATERMILL SEC 01","1,832","$392,000","3","2","0","1982","None","Single Family Residence","$4,098.00","129","129","134","FHA","$215.07","$213.97","0.99","MARK SPAIN REAL ESTATE","David Harper","261230002","55973","261068026","Orlando Regional","Orlando Regional"
"1","O6013270","$470,000","$449,900","03/26/2022","04/20/2022","SLD","3310 HARRISON AVE Unit#1","ORLANDO","32804","COLLEGE PARK CASTLE CONDO","2,093","$470,000","3","2","0","1950","Private, Community","Condominium","$4,442.95","4","4","5","Cash","$214.95","$224.56","1.04","CHARLES RUTENBERG REALTY ORLANDO","Steven Looper","261083349","261014321","261213559","Orlando Regional","Orlando Regional"
"1","T3360253","$370,000","$359,900","03/11/2022","04/14/2022","SLD","2713 WHITE ISLE LN","ORLANDO","32825","ECON LNDG PH I","1,675","$370,000","3","2","1","2016","None","Single Family Residence","$4,119.00","6","6","6","Conventional","$214.87","$220.9","1.03","OFFERPAD BROKERAGE","Rob Jones","147005203","261015573","261228213","Tampa","Tampa"
"1","O6006127","$382,250","$350,000","02/24/2022","04/01/2022","SLD","3201 LAKE MARGARET DR","ORLANDO","32806","LAKE LAGRANGE MANOR","1,629","$382,250","3","2","0","1973","None","Single Family Residence","$3,313.23","4","4","4","Cash","$214.86","$234.65","1.09","EXP REALTY LLC","Tia Billis","261211992","261013043","261203985","Orlando Regional","Orlando Regional"
"1","O6009195","$391,000","$375,000","03/21/2022","04/01/2022","SLD","8001 COOL BREEZE AVE Unit#121","ORLANDO","32819","BAYSHORE AT VISTA CAY AT HARBOR SQUARE CONDOMINIUM","1,746","$391,000","3","3","1","2006","Community","Townhouse","$3,460.44","1","1","1","Cash","$214.78","$223.94","1.04","VISTA CAY REALTY COMPANY","Drew Frahm","272502491","260504222","278049069","Orlando Regional","Orlando Regional"
"1","O6010449","$615,000","$539,999","03/18/2022","04/19/2022","SLD","13825 WATERHOUSE WAY","ORLANDO","32828","EASTWOOD VILLAGES 02","2,516","$615,000","4","2","1","1996","Private, Community","Single Family Residence","$2,971.42","2","2","3","Conventional","$214.63","$244.44","1.14","GO REALTY LLC","Shelley Davis","261072766","261014414","261217052","Orlando Regional","Orlando Regional"
"1","J945454","$330,500","$330,500","04/15/2022","04/15/2022","SLD","10301 LA GUARDIA CT","ORLANDO","32821","LAKE RIDGE VILLAGE","1,540","$330,500","3","2","0","1982","None","","$1,449.00","0","0","-33","Conventional","$214.61","$214.61","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","50344","261223291","For Future Use","Other"
"1","O6004832","$525,000","$525,000","02/18/2022","04/07/2022","SLD","4292 INLAND LN","ORLANDO","32817","GLENWOOD PARK","2,450","$525,000","4","3","0","1978","Private","Single Family Residence","$1,604.60","11","11","12","Conventional","$214.29","$214.29","1.00","MVP REALTY ASSOCIATES LLC","Nic Cadwallader","261217639","261016063","261212377","Orlando Regional","Orlando Regional"
"1","O6009662","$428,000","$400,000","03/10/2022","04/12/2022","SLD","9772 TIVOLI CHASE DR","ORLANDO","32829","TIVOLI WOODS VILLAGE","1,867","$428,000","4","3","0","2005","None","Single Family Residence","$3,285.00","4","4","5","Conventional","$214.25","$229.24","1.07","EXP REALTY LLC","Kevin Kendrick","261204481","261016970","261217520","Orlando Regional","Orlando Regional"
"1","O6011085","$112,000","$119,900","03/16/2022","04/04/2022","SLD","4760 WALDEN CIR Unit#514","ORLANDO","32811","WALDEN PALMS CONDO","560","$112,000","1","1","0","1988","Community","Condominium","$830.08","5","5","5","Cash","$214.11","$200","0.93","NEW SOLUTIONS REALTY INC","Irina Kempe","261092406","279627992","277005818","Orlando Regional","Orlando Regional"
