"Property Type","Status","Property Style","List Price","List Date","City Name","Zip Code","Year Built","Heated (Living) Area","Bedrooms","Bathrooms","Pool","Waterfront (Y/N)","Sale Price","Sale Date"
"RES","SOLD","SINGLE FAMILY RESIDENCE","451279","2/24/22","ORLANDO","32837","1993","2111","4","2","t","f","451279","4/1/22"
"RES","SOLD","CONDOMINIUM","209000","2/22/22","ORLANDO","32819","1994","1003","2","2","t","f","209000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","345000","2/22/22","ORLANDO","32810","2001","1526","3","2","t","f","345000","4/1/22"
"RES","SOLD","CONDO - HOTEL","394000","2/22/22","ORLANDO","32819","2021","1185","3","2","t","f","394000","4/1/22"
"RES","SOLD","CONDOMINIUM","175000","2/23/22","ORLANDO","32826","1989","810","2","1","t","f","175000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","365000","2/22/22","ORLANDO","32824","1993","1399","3","2","t","f","365000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","169000","2/24/22","ORLANDO","32826","1958","1080","3","1","t","f","169000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","382250","2/24/22","ORLANDO","32806","1973","1629","3","2","t","f","382250","4/1/22"
"RES","SOLD","CONDOMINIUM","196000","2/23/22","ORLANDO","32801","2002","744","1","1","t","f","196000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","410000","2/25/22","ORLANDO","32824","2005","1987","4","2","t","f","410000","4/1/22"
"RES","SOLD","TOWNHOUSE","320000","2/25/22","ORLANDO","32829","2006","1578","3","2.5","t","f","320000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","790000","2/26/22","ORLANDO","32836","2004","3034","4","3.5","t","f","790000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","549900","2/27/22","ORLANDO","32832","2018","2235","4","3","t","f","549900","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","306000","3/6/22","ORLANDO","32818","1986","1858","4","2.5","t","f","306000","4/1/22"
"RES","SOLD","CONDO - HOTEL","300000","3/1/22","ORLANDO","32821","2007","1165","2","2","t","t","300000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","615000","3/3/22","ORLANDO","32827","2013","2130","3","2.5","t","f","615000","4/1/22"
"RES","SOLD","TOWNHOUSE","539500","3/3/22","ORLANDO","32803","2016","2464","3","2.5","t","f","539500","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","600000","3/3/22","ORLANDO","32828","2004","2798","5","3.5","t","f","600000","4/1/22"
"RES","SOLD","CONDOMINIUM","315000","3/4/22","ORLANDO","32801","2007","804","1","1","t","f","315000","4/1/22"
"RES","SOLD","MANUFACTURED HOME","220000","3/5/22","ORLANDO","32820","1975","732","2","1","t","f","220000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","603000","2/25/22","ORLANDO","32801","1910","2215","4","3","t","f","603000","4/1/22"
"RES","SOLD","TOWNHOUSE","391000","3/21/22","ORLANDO","32819","2006","1746","3","3.5","t","f","391000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","565000","3/10/22","ORLANDO","32839","1995","2924","3","2","t","t","565000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","406000","3/9/22","ORLANDO","32835","1989","2412","4","4","t","f","406000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","450000","2/14/22","ORLANDO","32812","1973","2324","5","2.5","t","f","450000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","485000","3/16/22","ORLANDO","32819","1999","2328","4","3","t","f","485000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","301000","3/17/22","ORLANDO","32810","1957","1211","2","2","t","f","301000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","860000","3/18/22","ORLANDO","32827","2014","4034","4","4","t","f","860000","4/1/22"
"RES","SOLD","CONDOMINIUM","304000","3/28/22","ORLANDO","32835","2002","1682","3","2.5","t","f","304000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","1100000","4/1/22","ORLANDO","32827","2019","3194","5","4.5","t","f","1100000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","239900","10/4/21","ORLANDO","32839","1971","1086","3","2","t","f","239900","4/1/22"
